Date,Close,Open,High,Low,Vol.,Change
24-08-2020,11466.45,11412.0,11497.25,11410.65,532.9,0.83
25-08-2020,11472.25,11513.1,11525.9,11423.35,638.15,0.05
26-08-2020,11549.6,11512.85,11561.75,11461.85,743.44,0.67
27-08-2020,11559.25,11609.3,11617.35,11540.6,719.78,0.08
28-08-2020,11647.6,11602.95,11686.05,11589.4,807.0,0.76
31-08-2020,11387.5,11777.55,11794.25,11325.85,,-2.23
01-09-2020,11470.25,11464.3,11553.55,11366.9,783.77,0.73
02-09-2020,11535.0,11478.55,11554.75,11430.4,593.49,0.56
03-09-2020,11527.45,11566.2,11584.95,11507.65,607.12,-0.07
04-09-2020,11333.85,11354.4,11452.05,11303.65,681.34,-1.68
07-09-2020,11355.05,11359.6,11381.15,11251.7,560.32,0.19
08-09-2020,11317.35,11378.55,11437.25,11290.45,572.24,-0.33
09-09-2020,11278.0,11218.6,11298.15,11185.15,728.88,-0.35
10-09-2020,11449.25,11363.3,11464.05,11327.4,679.42,1.52
11-09-2020,11464.45,11447.8,11493.5,11419.9,554.79,0.13
14-09-2020,11440.05,11540.15,11568.9,11383.55,642.27,-0.21
15-09-2020,11521.8,11487.2,11535.95,11442.25,506.67,0.71
16-09-2020,11604.55,11538.45,11618.1,11516.75,527.8,0.72
17-09-2020,11516.1,11539.4,11587.2,11498.5,517.73,-0.76
18-09-2020,11504.95,11584.1,11584.1,11446.1,764.15,-0.1
21-09-2020,11250.55,11503.8,11535.25,11218.5,602.85,-2.21
22-09-2020,11153.65,11301.75,11302.2,11084.65,672.25,-0.86
23-09-2020,11131.85,11258.75,11259.55,11024.4,714.93,-0.2
24-09-2020,10805.55,11011.0,11015.3,10790.2,706.14,-2.93
25-09-2020,11050.25,10910.4,11072.6,10854.85,559.6,2.26
28-09-2020,11227.55,11140.85,11239.35,11099.85,472.78,1.6
29-09-2020,11222.4,11288.6,11305.4,11181.0,498.3,-0.05
30-09-2020,11247.55,11244.45,11295.4,11184.55,499.34,0.22
01-10-2020,11416.95,11364.45,11428.6,11347.05,447.74,1.51
05-10-2020,11503.35,11487.8,11578.05,11452.3,530.6,0.76
06-10-2020,11662.4,11603.45,11680.3,11564.3,561.44,1.38
07-10-2020,11738.85,11679.25,11763.05,11629.35,513.37,0.66
08-10-2020,11834.6,11835.4,11905.7,11791.15,608.77,0.82
09-10-2020,11914.2,11852.05,11938.6,11805.2,611.08,0.67
12-10-2020,11930.95,11973.55,12022.05,11867.2,522.63,0.14
13-10-2020,11934.5,11934.65,11988.2,11888.9,458.3,0.03
14-10-2020,11971.05,11917.4,11997.2,11822.15,569.24,0.31
15-10-2020,11680.35,12023.45,12025.45,11661.3,608.87,-2.43
16-10-2020,11762.45,11727.4,11789.75,11667.85,555.76,0.7
19-10-2020,11873.05,11879.2,11898.25,11820.4,541.42,0.94
